Episode,Reward,Average_Reward,Episode_Length
579,-140.0,-115.0,0.005
580,-219.0,-115.0,0.005
581,-185.0,-115.0,0.005
582,-132.0,-115.0,0.005
583,-159.0,-115.0,0.005
584,-240.0,-115.0,0.005
585,-161.0,-115.0,0.005
586,-151.0,-115.0,0.005
587,-187.0,-115.0,0.005
588,-152.0,-115.0,0.005
589,-121.0,-115.0,0.005
590,-182.0,-115.0,0.005
591,-189.0,-115.0,0.005
592,-179.0,-115.0,0.005
593,-120.0,-115.0,0.005
594,-178.0,-115.0,0.005
595,-119.0,-115.0,0.005
596,-151.0,-115.0,0.005
597,-190.0,-115.0,0.005
598,-189.0,-115.0,0.005
599,-122.0,-115.0,0.005
600,-185.0,-115.0,0.005
601,-155.0,-115.0,0.005
602,-118.0,-115.0,0.005
603,-183.0,-115.0,0.005
604,-155.0,-115.0,0.005
605,-156.0,-115.0,0.005
606,-201.0,-115.0,0.005
607,-150.0,-115.0,0.005
608,-152.0,-115.0,0.005
609,-176.0,-115.0,0.005
610,-191.0,-115.0,0.005
611,-205.0,-115.0,0.005
612,-181.0,-115.0,0.005
613,-210.0,-115.0,0.005
614,-175.0,-115.0,0.005
615,-121.0,-115.0,0.005
616,-155.0,-115.0,0.005
617,-153.0,-115.0,0.005
618,-230.0,-115.0,0.005
619,-197.0,-115.0,0.005
620,-177.0,-115.0,0.005
621,-147.0,-115.0,0.005
622,-155.0,-115.0,0.005
623,-151.0,-115.0,0.005
624,-191.0,-115.0,0.005
625,-153.0,-115.0,0.005
626,-173.0,-115.0,0.005
627,-148.0,-115.0,0.005
628,-226.0,-115.0,0.005
629,-120.0,-115.0,0.005
630,-177.0,-115.0,0.005
631,-186.0,-115.0,0.005
632,-145.0,-115.0,0.005
633,-120.0,-115.0,0.005
634,-167.0,-115.0,0.005
635,-150.0,-115.0,0.005
636,-181.0,-115.0,0.005
637,-160.0,-115.0,0.005
638,-156.0,-115.0,0.005
639,-159.0,-115.0,0.005
640,-120.0,-115.0,0.005
641,-250.0,-115.0,0.005
642,-147.0,-115.0,0.005
643,-150.0,-115.0,0.005
644,-181.0,-115.0,0.005
645,-154.0,-115.0,0.005
646,-148.0,-115.0,0.005
647,-181.0,-115.0,0.005
648,-184.0,-115.0,0.005
649,-151.0,-115.0,0.005
650,-150.0,-115.0,0.005
651,-181.0,-115.0,0.005
652,-148.0,-115.0,0.005
653,-180.0,-115.0,0.005
654,-150.0,-115.0,0.005
655,-154.0,-115.0,0.005
656,-154.0,-115.0,0.005
657,-193.0,-115.0,0.005
658,-198.0,-115.0,0.005
659,-154.0,-115.0,0.005
660,-151.0,-115.0,0.005
661,-153.0,-115.0,0.005
662,-174.0,-115.0,0.005
663,-162.0,-115.0,0.005
664,-150.0,-115.0,0.005
665,-211.0,-115.0,0.005
666,-147.0,-115.0,0.005
667,-229.0,-115.0,0.005
668,-147.0,-115.0,0.005
669,-238.0,-115.0,0.005
670,-154.0,-115.0,0.005
671,-147.0,-115.0,0.005
672,-209.0,-115.0,0.005
673,-127.0,-115.0,0.005
674,-149.0,-115.0,0.005
675,-148.0,-115.0,0.005
676,-172.0,-115.0,0.005
677,-186.0,-115.0,0.005
678,-231.0,-115.0,0.005
679,-165.0,-115.0,0.005
680,-120.0,-115.0,0.005
681,-178.0,-115.0,0.005
682,-188.0,-115.0,0.005
683,-183.0,-115.0,0.005
684,-154.0,-115.0,0.005
685,-153.0,-115.0,0.005
686,-178.0,-115.0,0.005
687,-158.0,-115.0,0.005
688,-151.0,-115.0,0.005
689,-179.0,-115.0,0.005
690,-213.0,-115.0,0.005
691,-150.0,-115.0,0.005
692,-180.0,-115.0,0.005
693,-189.0,-115.0,0.005
694,-121.0,-115.0,0.005
695,-120.0,-115.0,0.005
696,-188.0,-115.0,0.005
697,-130.0,-115.0,0.005
698,-194.0,-115.0,0.005
699,-150.0,-115.0,0.005
700,-197.0,-115.0,0.005
701,-152.0,-115.0,0.005
702,-206.0,-115.0,0.005
703,-180.0,-115.0,0.005
704,-200.0,-115.0,0.005
705,-178.0,-115.0,0.005
706,-214.0,-115.0,0.005
707,-241.0,-115.0,0.005
708,-154.0,-115.0,0.005
709,-119.0,-115.0,0.005
710,-154.0,-115.0,0.005
711,-174.0,-115.0,0.005
712,-131.0,-115.0,0.005
713,-122.0,-115.0,0.005
714,-181.0,-115.0,0.005
715,-151.0,-115.0,0.005
716,-193.0,-115.0,0.005
717,-151.0,-115.0,0.005
718,-150.0,-115.0,0.005
719,-122.0,-115.0,0.005
720,-153.0,-115.0,0.005
721,-164.0,-115.0,0.005
722,-148.0,-115.0,0.005
723,-153.0,-115.0,0.005
724,-156.0,-115.0,0.005
725,-156.0,-115.0,0.005
726,-182.0,-115.0,0.005
727,-219.0,-115.0,0.005
728,-149.0,-115.0,0.005
729,-205.0,-115.0,0.005
730,-183.0,-115.0,0.005
731,-157.0,-115.0,0.005
732,-184.0,-115.0,0.005
733,-186.0,-115.0,0.005
734,-188.0,-115.0,0.005
735,-121.0,-115.0,0.005
736,-187.0,-115.0,0.005
737,-116.0,-115.0,0.005
738,-171.0,-115.0,0.005
739,-152.0,-115.0,0.005
740,-183.0,-115.0,0.005
741,-146.0,-115.0,0.005
742,-244.0,-115.0,0.005
743,-125.0,-115.0,0.005
744,-183.0,-115.0,0.005
745,-126.0,-115.0,0.005
746,-168.0,-115.0,0.005
747,-158.0,-115.0,0.005
748,-180.0,-115.0,0.005
749,-128.0,-115.0,0.005
750,-184.0,-115.0,0.005
751,-180.0,-115.0,0.005
752,-198.0,-115.0,0.005
753,-186.0,-115.0,0.005
754,-178.0,-115.0,0.005
755,-240.0,-115.0,0.005
756,-158.0,-115.0,0.005
757,-117.0,-115.0,0.005
758,-148.0,-115.0,0.005
759,-151.0,-115.0,0.005
760,-188.0,-115.0,0.005
761,-179.0,-115.0,0.005
762,-172.0,-115.0,0.005
763,-154.0,-115.0,0.005
764,-124.0,-115.0,0.005
765,-183.0,-115.0,0.005
766,-176.0,-115.0,0.005
767,-198.0,-115.0,0.005
768,-157.0,-115.0,0.005
769,-186.0,-115.0,0.005
770,-166.0,-115.0,0.005
771,-119.0,-115.0,0.005
772,-157.0,-115.0,0.005
773,-189.0,-115.0,0.005
774,-178.0,-115.0,0.005
775,-166.0,-115.0,0.005
776,-122.0,-115.0,0.005
777,-185.0,-115.0,0.005
778,-153.0,-115.0,0.005
779,-192.0,-115.0,0.005
780,-212.0,-115.0,0.005
781,-181.0,-115.0,0.005
782,-119.0,-115.0,0.005
783,-153.0,-115.0,0.005
784,-186.0,-115.0,0.005
785,-181.0,-115.0,0.005
786,-184.0,-115.0,0.005
787,-180.0,-115.0,0.005
788,-153.0,-115.0,0.005
789,-115.0,-115.0,0.005
790,-147.0,-115.0,0.005
791,-193.0,-115.0,0.005
792,-134.0,-115.0,0.005
793,-147.0,-115.0,0.005
794,-120.0,-115.0,0.005
795,-186.0,-115.0,0.005
796,-153.0,-115.0,0.005
797,-117.0,-115.0,0.005
798,-152.0,-115.0,0.005
799,-169.0,-115.0,0.005
800,-164.0,-115.0,0.005
801,-167.0,-115.0,0.005
802,-178.0,-115.0,0.005
803,-200.0,-115.0,0.005
804,-118.0,-115.0,0.005
805,-162.0,-115.0,0.005
806,-180.0,-115.0,0.005
807,-197.0,-115.0,0.005
808,-193.0,-115.0,0.005
809,-151.0,-115.0,0.005
810,-180.0,-115.0,0.005
811,-194.0,-115.0,0.005
812,-180.0,-115.0,0.005
813,-150.0,-115.0,0.005
814,-180.0,-115.0,0.005
815,-168.0,-115.0,0.005
816,-159.0,-115.0,0.005
817,-130.0,-115.0,0.005
818,-116.0,-115.0,0.005
819,-163.0,-115.0,0.005
820,-182.0,-115.0,0.005
821,-173.0,-115.0,0.005
822,-205.0,-115.0,0.005
823,-148.0,-115.0,0.005
824,-150.0,-115.0,0.005
825,-186.0,-115.0,0.005
826,-158.0,-115.0,0.005
827,-204.0,-115.0,0.005
828,-117.0,-115.0,0.005
829,-199.0,-115.0,0.005
830,-180.0,-115.0,0.005
831,-118.0,-115.0,0.005
832,-148.0,-115.0,0.005
833,-148.0,-115.0,0.005
834,-125.0,-115.0,0.005
835,-178.0,-115.0,0.005
836,-177.0,-115.0,0.005
837,-116.0,-115.0,0.005
838,-151.0,-115.0,0.005
839,-195.0,-115.0,0.005
840,-169.0,-115.0,0.005
841,-162.0,-115.0,0.005
842,-154.0,-115.0,0.005
843,-188.0,-115.0,0.005
844,-178.0,-115.0,0.005
845,-120.0,-115.0,0.005
846,-159.0,-115.0,0.005
847,-180.0,-115.0,0.005
848,-187.0,-115.0,0.005
849,-179.0,-115.0,0.005
850,-118.0,-115.0,0.005
851,-186.0,-115.0,0.005
852,-129.0,-115.0,0.005
853,-124.0,-115.0,0.005
854,-171.0,-115.0,0.005
855,-116.0,-115.0,0.005
856,-117.0,-115.0,0.005
857,-116.0,-115.0,0.005
858,-190.0,-115.0,0.005
859,-187.0,-115.0,0.005
860,-187.0,-115.0,0.005
861,-116.0,-115.0,0.005
862,-154.0,-115.0,0.005
863,-157.0,-115.0,0.005
864,-152.0,-115.0,0.005
865,-120.0,-115.0,0.005
866,-180.0,-115.0,0.005
867,-116.0,-115.0,0.005
868,-192.0,-115.0,0.005
