episode,total_reward,best_reward,agent.epsilon
796,-345.0,-248.0,0.005
797,-337.0,-248.0,0.005
798,-348.0,-248.0,0.005
799,-458.0,-248.0,0.005
800,-412.0,-248.0,0.005
801,-323.0,-248.0,0.005
802,-530.0,-248.0,0.005
803,-468.0,-248.0,0.005
804,-456.0,-248.0,0.005
805,-373.0,-248.0,0.005
806,-370.0,-248.0,0.005
807,-508.0,-248.0,0.005
808,-318.0,-248.0,0.005
809,-657.0,-248.0,0.005
810,-422.0,-248.0,0.005
811,-471.0,-248.0,0.005
812,-536.0,-248.0,0.005
813,-406.0,-248.0,0.005
814,-327.0,-248.0,0.005
815,-695.0,-248.0,0.005
816,-426.0,-248.0,0.005
817,-392.0,-248.0,0.005
818,-352.0,-248.0,0.005
819,-323.0,-248.0,0.005
820,-362.0,-248.0,0.005
821,-530.0,-248.0,0.005
822,-345.0,-248.0,0.005
823,-601.0,-248.0,0.005
824,-414.0,-248.0,0.005
825,-545.0,-248.0,0.005
826,-358.0,-248.0,0.005
827,-400.0,-248.0,0.005
828,-412.0,-248.0,0.005
829,-345.0,-248.0,0.005
830,-405.0,-248.0,0.005
831,-455.0,-248.0,0.005
832,-379.0,-248.0,0.005
833,-529.0,-248.0,0.005
834,-322.0,-248.0,0.005
835,-430.0,-248.0,0.005
836,-431.0,-248.0,0.005
837,-413.0,-248.0,0.005
838,-499.0,-248.0,0.005
839,-353.0,-248.0,0.005
840,-431.0,-248.0,0.005
841,-489.0,-248.0,0.005
842,-317.0,-248.0,0.005
843,-520.0,-248.0,0.005
844,-324.0,-248.0,0.005
845,-578.0,-248.0,0.005
846,-328.0,-248.0,0.005
847,-323.0,-248.0,0.005
848,-321.0,-248.0,0.005
849,-484.0,-248.0,0.005
850,-538.0,-248.0,0.005
851,-438.0,-248.0,0.005
852,-367.0,-248.0,0.005
853,-421.0,-248.0,0.005
854,-409.0,-248.0,0.005
855,-326.0,-248.0,0.005
856,-500.0,-248.0,0.005
