Episode,Reward,Average_Reward,Episode_Length
815,-235.0,-152.0,0.005
816,-282.0,-152.0,0.005
817,-265.0,-152.0,0.005
818,-222.0,-152.0,0.005
819,-234.0,-152.0,0.005
820,-228.0,-152.0,0.005
821,-192.0,-152.0,0.005
822,-236.0,-152.0,0.005
823,-194.0,-152.0,0.005
824,-192.0,-152.0,0.005
825,-160.0,-152.0,0.005
826,-203.0,-152.0,0.005
827,-186.0,-152.0,0.005
828,-222.0,-152.0,0.005
829,-272.0,-152.0,0.005
830,-325.0,-152.0,0.005
831,-241.0,-152.0,0.005
832,-192.0,-152.0,0.005
833,-190.0,-152.0,0.005
834,-277.0,-152.0,0.005
835,-286.0,-152.0,0.005
836,-188.0,-152.0,0.005
837,-192.0,-152.0,0.005
838,-186.0,-152.0,0.005
839,-259.0,-152.0,0.005
840,-197.0,-152.0,0.005
841,-232.0,-152.0,0.005
842,-263.0,-152.0,0.005
843,-245.0,-152.0,0.005
844,-220.0,-152.0,0.005
845,-273.0,-152.0,0.005
846,-209.0,-152.0,0.005
847,-162.0,-152.0,0.005
848,-200.0,-152.0,0.005
849,-229.0,-152.0,0.005
850,-228.0,-152.0,0.005
851,-198.0,-152.0,0.005
852,-223.0,-152.0,0.005
853,-163.0,-152.0,0.005
854,-201.0,-152.0,0.005
855,-289.0,-152.0,0.005
856,-170.0,-152.0,0.005
857,-237.0,-152.0,0.005
858,-233.0,-152.0,0.005
859,-183.0,-152.0,0.005
860,-186.0,-152.0,0.005
861,-190.0,-152.0,0.005
862,-262.0,-152.0,0.005
863,-300.0,-152.0,0.005
864,-225.0,-152.0,0.005
865,-204.0,-152.0,0.005
